nidn_dosen,nama,id_dosen,judul_penelitian,kategori_utama,kategori_pendukung,tanggal_terbit,jenis_publikasi,tingkat_publikasi
705087901,Heru Wijayanto Aripradono,2200046,Penerapan Komunikasi Digital Storytelling Pada Media Sosial Instagram,Marketing,"Marketing, Multimedia",29/01/2018,Nasional non-sinta,Jurnal Nasional
705087901,Heru Wijayanto Aripradono,2200046,Social Media and the Journey of Volunteering,Marketing,Ethics,05/11/2020,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 3 dan 4
705087901,Heru Wijayanto Aripradono,2200046,Faktor Keputusan Pembelian Konsumen Online Marketplace Indonesia,Marketing,Manajemen,08/06/2020,International,Jurnal Internasional terindeks pada basis data internasional
705087901,Heru Wijayanto Aripradono,2200046,"ANALISIS PENGARUH KEMENARIKAN DESAIN WEBSITE, KEPERCAYAAN DAN PROFESIONALISME TERHADAP KEPUTUSAN PEMBELIAN ONLINE JASA AQIQAH",Design,Marketing,26/12/2019,Nasional non-sinta,Jurnal Nasional
705087901,Heru Wijayanto Aripradono,2200046,Analisa Extended Technology Acceptance Model Sebagai Penerimaan Penggunaan Platform Startup Education Technology,Startup,Manajemen,01/12/2021,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
705087901,Heru Wijayanto Aripradono,2200046,Perancangan Dan Implementasi Web Forum Alumni Universitas Internasional Batam,Website Making,Pemograman,28/02/2021,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
705087901,Heru Wijayanto Aripradono,2200046,PERANCANGAN DAN PENGEMBANGAN WEB MARKETPLACE KEBUTUHAN RUMAH TANGGA MENGGUNAKAN MODEL WDLC DENGAN METODE SCRUM,Website Making,Pemograman,28/03/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,Analisa Pengaruh Kualitas Desain Website Terhadap Minat Beli Online Travel Agent,Design,Marketing,19/04/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,Pengembangan Website Learning Management Systems Dengan Metodologi Scrum,Website Making,Pemograman,06/02/2023,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,CROWRDFUNDING DONASI: STUDI ITERATIVE DEVELOPMENT DALAM MENGIMPLEMENTASIKAN FEEDBACK PADA PENGEMBANGAN WEBSITE,Website Making,-,06/02/2023,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,ITERATIVE ANALISIS PADA KEPUASAN PENGGUNA UNTUK WEBSITE CROWDFUNDING DONASI DI INDONESIA,Website Making,-,14/12/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 3 dan 4
705087901,Heru Wijayanto Aripradono,2200046,STUDI EKSPLORASI DAN ANALISIS PENGARUH VIDEO GAME PADA KUALITAS PERTEMANAN: STUDI KASUS IT TAKES TWO,Game Making,Ethics,16/12/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 3 dan 4
705087901,Heru Wijayanto Aripradono,2200046,Iterative Analysis on Social Media Content Effectiveness in Promoting Crowdfunding Brand: A Case Study of The Utopia,Marketing,Multimedia,16/12/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 3 dan 4
705087901,Heru Wijayanto Aripradono,2200046,Perancangan Marketplace Portal Sebagai Pendukung Startup Dengan Pendekatan Metode RAD dan BMC,Website Making,Startup,07/01/2023,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,Perancangan Startup Prioneering Di Bidang Confectionary Vegan Menggunakan Metode Lean Canvas,Startup,Manajemen,03/12/2022,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
705087901,Heru Wijayanto Aripradono,2200046,STUDI EKSPLORASI DAN ANALISIS PENGARUH VIDEO GAME PADA KUALITAS PERTEMANAN: STUDI KASUS IT TAKES TWO,Game Making,Ethics,01/08/2023,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
705087901,Heru Wijayanto Aripradono,2200046,Usage of Gamification and Mobile Application to Reduce Food Loss and Waste: A Case Study of Indonesia,Mobile Development,Ethics,21/09/2023,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
705087901,Heru Wijayanto Aripradono,2200046,Analisa Extended Technology Acceptance Model Sebagai Penerimaan Penggunaan Platform Startup Education Technology,Startup,Manajemen,18/02/2023,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 3 dan 4
1002028301,Syaeful Anas Aklani,3150017,Sistem Informasi Covid-19 Kota Batam dan Skrening Mandiri Menggunakan Metode Fordward Chaining,Website Making,Pemograman,12/08/2021,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
1002028301,Syaeful Anas Aklani,3150017,SISTEM INFORMASI GEOGRAFIS PETA PENYEBARAN COVID-19 DI KOTA BATAM,Website Making,Pemograman,11/01/2021,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
1002028301,Syaeful Anas Aklani,3150017,Analisa dan Perancangan Sistem Pendukung Keputusan dengan Metode Profile Matching dalam Menentukan Efektifitas Pekerjaan,Pemograman,Logical Thinking,03/12/2019,Nasional non-sinta,Jurnal Nasional
1002028301,Syaeful Anas Aklani,3150017,Implementasi dan Perancangan Perpustakaan Online (Digital Library) dengan SLIMS (Senayan Library System) Untuk Otomasi Pelanggan (Studi Kasus STKIP PGRI Sumbar),Website Making,Pemograman,20/12/2019,Nasional non-sinta,Jurnal Nasional
1002028301,Syaeful Anas Aklani,3150017,Metode Fuzzy Logic Untuk Evaluasi Kinerja Pelayanan Perawat (Studi Kasus: RSIA Siti Hawa Padang),Pemrograman,Manajemen,01/02/2018,Nasional non-sinta,Jurnal Nasional
1002028301,Syaeful Anas Aklani,3150017,Sistem Pengambilan Keputusan Untuk Menentukan Berapa Lama Masa Studi dan IPK Menggunakan Model Metode Fuzzy Tahani,Pemograman,Logical Thinking,01/01/2014,Nasional non-sinta,Jurnal Nasional
1002028301,Syaeful Anas Aklani,3150017,THE DECISION ANALYSIS AND DEVELOPMENT OF WEB-BASED OPERATION DASHBOARD PRODUCTION USING SCRUM FRAMEWORK,Website Making,Pemograman,18/04/2022,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
1002028301,Syaeful Anas Aklani,3150017,APLIKASI DONASI BERBASIS MOBILE MENGGUNAKAN METODE SCRUM,Mobile Development,Pemograman,30/05/2022,Sinta,Jurnal Nasional Terakreditasi SINTA 3-6
1002028301,Syaeful Anas Aklani,3150017,ANALISIS DAN PENGEMBANGAN APLIKASI MOBILE DIET ARTIFICIAL INTELLIGENCE DENGAN PENDEKATAN CHALLENGE BASED,Mobile Development,Machine Learning,30/04/2023,Sinta,Jurnal Nasional Terakreditasi SINTA 1-2
1002028301,Syaeful Anas Aklani,3150017,ANALISIS ALGORITMA MONTE CARLO UNTUK MEMPREDIKSI KEUNTUNGAN PEMBANGUNAN APARTEMEN MENGGUNAKAN SCRUM FRAMEWORK,Machine Learning,Pemrograman,0000-00-00,Nasional non-sinta,Jurnal Nasional terakreditasi Kemenristekdikti peringkat 5 dan 6
